
NbProcs = 4;
NbTasks = 4;
Cycles = 1;
xN = 2;
yN = 2;
Time = [[17,21,14,21],[9,11,7,11],[17,21,14,21],[9,11,7,11]];
Freq = [1,2,1,2];
dPk = [10,20,10,20];
sPk = [3,6,3,6];
comm = [[0, 10, 0, 7],
        [0, 0,  7, 0],
        [0, 0, 0,  0],
        [0, 0, 0, 0],
       ];

Dep =  [[0, 1, 0, 1],
[0, 0,  1, 0],
[0, 0, 0,  0],
[0, 0, 0, 0],
];

xP = [0,1,0,1];
yP = [0,0,1,1];

shared =[[[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 1, 0, 1] ,
[0, 0, 0, 0] ,
[0, 1, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 1, 1] ,
[0, 0, 1, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 1, 1, 2] ,
[0, 0, 0, 1] ,
[0, 0, 0, 1] ,
[0, 0, 0, 0] ] ],
[[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 1, 0] ,
[0, 0, 1, 1] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 0, 1] ,
[0, 0, 1, 1] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ],
[[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 1, 0, 0] ,
[0, 0, 0, 0] ,
[0, 1, 0, 1] ,
[0, 0, 0, 0] ] ,
[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 0, 1] ,
[0, 0, 0, 0] ,
[0, 1, 0, 1] ,
[0, 0, 0, 0] ] ],
[[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ]
];

 
