
NbProcs = 4;
NbTasks = 10;
Cycles = 1;
xN = 2;
yN = 2;


Time = [[12,18,4,12,16,9,9,9,26,31],[6,9,2,6,8,5,5,5,13,16],[12,18,4,12,16,9,9,9,26,31],[6,9,2,6,8,5,5,5,13,16]];
maxTime = 286;

Freq = [1,2,1,2];

dPk = [10,20,10,20];
sPk = [3,6,3,6];

comm = [[0, 7, 0, 7, 0, 0, 0, 0, 0, 0],
        [0, 0, 10, 0,  0, 0, 0, 8, 0, 0],
        [0, 0, 0, 0, 8, 0, 0, 0, 0, 0],
        [0, 0, 0, 0, 0, 8, 8, 0, 0, 0],
        [0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
        [0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
        [0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
        [0, 0, 0, 0, 0, 0, 0, 0, 7, 7],
        [0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
        [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];



Dep =  [
[0, 1, 0, 1, 0, 0, 0, 0, 0, 0],
[0, 0, 1, 0,  0, 0, 0, 1, 0, 0],
[0, 0, 0, 0, 1, 0, 0, 0, 0, 0],
[0, 0, 0, 0, 0, 1, 1, 0, 0, 0],
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[0, 0, 0, 0, 0, 0, 0, 0, 1, 1],
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];

xP = [0,1,0,1];
yP = [0,0,1,1];


shared =[[[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 1, 0, 1] ,
[0, 0, 0, 0] ,
[0, 1, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 1, 1] ,
[0, 0, 1, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 1, 1, 2] ,
[0, 0, 0, 1] ,
[0, 0, 0, 1] ,
[0, 0, 0, 0] ] ],
[[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 1, 0] ,
[0, 0, 1, 1] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 0, 1] ,
[0, 0, 1, 1] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ],
[[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 1, 0, 0] ,
[0, 0, 0, 0] ,
[0, 1, 0, 1] ,
[0, 0, 0, 0] ] ,
[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 0, 1] ,
[0, 0, 0, 0] ,
[0, 1, 0, 1] ,
[0, 0, 0, 0] ] ],
[[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ]
];
